Nr;Datum;Zeit;Heim;Gast;Tore;Punkte
135;22.11.14;15:00;SC Magdeburg;TSG Lu-Friesenheim;36:28;2:0
136;22.11.14;19:00;Bergischer HC;TuS N-Luebbecke;28:27;2:0
137;22.11.14;19:00;VfL Gummersbach;TBV Lemgo;29:28;2:0
140;23.11.14;15:00;HBW Balingen-Weilstetten;HSG Wetzlar;22:24;0:2
134;23.11.14;18:00;TSV GWD Minden;HSV Handball;36:30;2:0
144;26.11.14;19:00;TSG Lu-Friesenheim;Rhein-Neckar Loewen;22:30;0:2
141;26.11.14;20:15;TBV Lemgo;SG Flensburg-Handewitt;26:30;0:2
145;26.11.14;20:15;MT Melsungen;TSV GWD Minden;35:25;2:0
148;26.11.14;20:15;HSV Handball;Bergischer HC;21:20;2:0
139;26.11.14;20:15;SG BBM Bietigheim;Fuechse Berlin;22:24;0:2
143;28.11.14;19:45;HSG Wetzlar;TSV Hannover-Burgdorf;29:27;2:0
146;29.11.14;19:00;TuS N-Luebbecke;FRISCH AUF! Goeppingen;29:27;2:0
150;29.11.14;19:00;HBW Balingen-Weilstetten;TBV Lemgo;33:28;2:0
147;29.11.14;20:15;SG BBM Bietigheim;SC Magdeburg;23:30;0:2
142;30.11.14;15:00;THW Kiel;VfL Gummersbach;33:27;2:0
151;03.12.14;19:00;Rhein-Neckar Loewen;TuS N-Luebbecke;35:25;2:0
190;03.12.14;19:00;HSV Handball;HBW Balingen-Weilstetten;26:28;0:2
154;03.12.14;20:15;SC Magdeburg;Fuechse Berlin;30:26;2:0
157;05.12.14;19:45;HC Erlangen;SG BBM Bietigheim;24:24;1:1
160;06.12.14;19:00;SC Magdeburg;HBW Balingen-Weilstetten;27:19;2:0
155;06.12.14;19:00;Bergischer HC;TSG Lu-Friesenheim;27:30;0:2
156;06.12.14;19:00;VfL Gummersbach;HSG Wetzlar;23:21;2:0
153;06.12.14;19:00;TSV Hannover-Burgdorf;TBV Lemgo;31:27;2:0
158;06.12.14;20:15;FRISCH AUF! Goeppingen;MT Melsungen;26:31;0:2
159;07.12.14;15:00;TSV GWD Minden;THW Kiel;23:32;0:2
152;07.12.14;20:15;SG Flensburg-Handewitt;HSV Handball;29:24;2:0
181;09.12.14;19:00;HC Erlangen;Rhein-Neckar Loewen;27:25;2:0
041;10.12.14;18:45;SG Flensburg-Handewitt;Fuechse Berlin;36:27;2:0
052;10.12.14;19:00;TSG Lu-Friesenheim;TBV Lemgo;25:24;2:0
170;10.12.14;20:15;HBW Balingen-Weilstetten;FRISCH AUF! Goeppingen;24:30;0:2
161;13.12.14;19:00;TSG Lu-Friesenheim;HC Erlangen;27:26;2:0
162;13.12.14;19:00;MT Melsungen;Bergischer HC;40:28;2:0
163;13.12.14;19:00;TuS N-Luebbecke;VfL Gummersbach;29:31;0:2
165;13.12.14;20:15;SG BBM Bietigheim;FRISCH AUF! Goeppingen;29:25;2:0
164;14.12.14;15:00;HSG Wetzlar;SG Flensburg-Handewitt;22:22;1:1
166;14.12.14;17:15;SC Magdeburg;TSV GWD Minden;28:22;2:0
167;14.12.14;17:15;THW Kiel;TSV Hannover-Burgdorf;34:25;2:0
168;14.12.14;17:15;HSV Handball;TBV Lemgo;28:32;0:2
169;14.12.14;17:15;Fuechse Berlin;Rhein-Neckar Loewen;20:30;0:2
199;20.12.14;15:00;HBW Balingen-Weilstetten;SG BBM Bietigheim;25:24;2:0
172;20.12.14;19:00;SG Flensburg-Handewitt;THW Kiel;26:22;2:0
173;20.12.14;19:00;TSV Hannover-Burgdorf;HSV Handball;30:36;0:2
174;20.12.14;19:00;Bergischer HC;Fuechse Berlin;30:25;2:0
175;20.12.14;19:00;VfL Gummersbach;MT Melsungen;26:32;0:2
176;20.12.14;19:00;TBV Lemgo;HSG Wetzlar;26:26;1:1
177;20.12.14;19:00;TSV GWD Minden;TuS N-Luebbecke;29:27;2:0
178;20.12.14;19:00;HC Erlangen;SC Magdeburg;19:28;0:2
179;20.12.14;20:15;FRISCH AUF! Goeppingen;TSG Lu-Friesenheim;33:25;2:0
183;23.12.14;19:00;SG BBM Bietigheim;TSV Hannover-Burgdorf;24:28;0:2
184;23.12.14;19:00;TSG Lu-Friesenheim;VfL Gummersbach;26:24;2:0
185;23.12.14;19:00;SC Magdeburg;Bergischer HC;38:32;2:0
186;23.12.14;19:00;TuS N-Luebbecke;TBV Lemgo;35:35;1:1
187;23.12.14;19:00;Fuechse Berlin;FRISCH AUF! Goeppingen;24:22;2:0
189;23.12.14;19:00;THW Kiel;HSV Handball;29:19;2:0
188;23.12.14;20:15;MT Melsungen;SG Flensburg-Handewitt;22:22;1:1
182;23.12.14;20:15;HSG Wetzlar;TSV GWD Minden;27:25;2:0
020;26.12.14;15:00;SG Flensburg-Handewitt;HBW Balingen-Weilstetten;32:18;2:0
193;26.12.14;17:15;Bergischer HC;HC Erlangen;32:27;2:0
194;26.12.14;17:15;VfL Gummersbach;Fuechse Berlin;27:26;2:0
195;26.12.14;17:15;TBV Lemgo;MT Melsungen;33:30;2:0
196;26.12.14;17:15;FRISCH AUF! Goeppingen;SC Magdeburg;33:36;0:2
191;26.12.14;17:15;THW Kiel;HSG Wetzlar;32:25;2:0
198;27.12.14;18:15;HSV Handball;Rhein-Neckar Loewen;25:26;0:2
192;27.12.14;19:00;TSV Hannover-Burgdorf;TSG Lu-Friesenheim;27:19;2:0
197;27.12.14;19:00;TSV GWD Minden;SG BBM Bietigheim;35:27;2:0
240;08.02.15;17:15;HC Erlangen;HBW Balingen-Weilstetten;28:27;2:0
201;11.02.15;19:00;Rhein-Neckar Loewen;Bergischer HC;30:24;2:0
202;11.02.15;19:00;Fuechse Berlin;TSV GWD Minden;32:23;2:0
210;11.02.15;20:15;HBW Balingen-Weilstetten;TSV Hannover-Burgdorf;31:27;2:0
203;11.02.15;20:15;MT Melsungen;THW Kiel;32:41;0:2
206;14.02.15;19:00;HSG Wetzlar;HSV Handball;32:25;2:0
209;14.02.15;19:00;HC Erlangen;FRISCH AUF! Goeppingen;24:29;0:2
205;14.02.15;20:15;TuS N-Luebbecke;TSV Hannover-Burgdorf;25:25;1:1
204;15.02.15;17:15;SC Magdeburg;VfL Gummersbach;33:28;2:0
207;15.02.15;17:15;SG BBM Bietigheim;TBV Lemgo;22:34;0:2
208;15.02.15;17:15;TSG Lu-Friesenheim;SG Flensburg-Handewitt;23:27;0:2
220;18.02.15;19:00;TBV Lemgo;HBW Balingen-Weilstetten;21:21;1:1
214;18.02.15;19:00;TSV Hannover-Burgdorf;Fuechse Berlin;26:31;0:2
212;18.02.15;19:00;SG Flensburg-Handewitt;SC Magdeburg;26:30;0:2
215;18.02.15;20:15;HSG Wetzlar;MT Melsungen;29:31;0:2
218;18.02.15;20:45;FRISCH AUF! Goeppingen;Rhein-Neckar Loewen;22:33;0:2
213;21.02.15;15:00;HSV Handball;TuS N-Luebbecke;34:26;2:0
216;21.02.15;19:00;VfL Gummersbach;HC Erlangen;24:21;2:0
217;21.02.15;19:00;TBV Lemgo;TSG Lu-Friesenheim;32:32;1:1
219;21.02.15;19:00;TSV GWD Minden;Bergischer HC;28:30;0:2
211;22.02.15;15:00;THW Kiel;SG BBM Bietigheim;40:27;2:0
171;24.02.15;19:00;Rhein-Neckar Loewen;SG BBM Bietigheim;35:25;2:0
200;25.02.15;19:00;SG Flensburg-Handewitt;TuS N-Luebbecke;25:21;2:0
223;25.02.15;20:15;MT Melsungen;HSV Handball;23:26;0:2
230;25.02.15;20:15;THW Kiel;HBW Balingen-Weilstetten;37:18;2:0
222;26.02.15;19:00;Fuechse Berlin;TBV Lemgo;30:27;2:0
221;28.02.15;17:00;Rhein-Neckar Loewen;SG Flensburg-Handewitt;23:20;2:0
225;28.02.15;19:00;Bergischer HC;FRISCH AUF! Goeppingen;28:28;1:1
226;28.02.15;19:00;TuS N-Luebbecke;HSG Wetzlar;27:26;2:0
229;28.02.15;19:00;HC Erlangen;TSV GWD Minden;19:23;0:2
227;28.02.15;20:15;SG BBM Bietigheim;VfL Gummersbach;23:21;2:0
228;01.03.15;17:15;TSG Lu-Friesenheim;THW Kiel;20:33;0:2
224;01.03.15;17:15;SC Magdeburg;TSV Hannover-Burgdorf;34:28;2:0
248;04.03.15;19:00;TSG Lu-Friesenheim;HSV Handball;30:23;2:0
236;07.03.15;19:00;HSG Wetzlar;TSG Lu-Friesenheim;32:27;2:0
237;07.03.15;19:00;VfL Gummersbach;Bergischer HC;31:28;2:0
239;07.03.15;19:00;TSV GWD Minden;FRISCH AUF! Goeppingen;24:26;0:2
232;08.03.15;15:00;SG Flensburg-Handewitt;SG BBM Bietigheim;31:25;2:0
235;08.03.15;17:15;TSV Hannover-Burgdorf;Rhein-Neckar Loewen;23:31;0:2
238;08.03.15;17:15;TBV Lemgo;HC Erlangen;29:23;2:0
233;10.03.15;20:15;HSV Handball;SC Magdeburg;33:29;2:0
234;11.03.15;19:00;MT Melsungen;TuS N-Luebbecke;32:23;2:0
290;11.03.15;20:15;HBW Balingen-Weilstetten;VfL Gummersbach;29:28;2:0
231;12.03.15;19:00;THW Kiel;Fuechse Berlin;32:18;2:0
244;14.03.15;19:00;Bergischer HC;TSV Hannover-Burgdorf;31:31;1:1
246;15.03.15;15:00;FRISCH AUF! Goeppingen;VfL Gummersbach;23:23;1:1
241;18.03.15;19:00;Rhein-Neckar Loewen;TSV GWD Minden;28:23;2:0
242;18.03.15;19:00;Fuechse Berlin;HSG Wetzlar;32:24;2:0
243;18.03.15;19:00;SC Magdeburg;TBV Lemgo;36:24;2:0
249;18.03.15;19:00;HC Erlangen;SG Flensburg-Handewitt;22:22;1:1
260;18.03.15;20:15;HBW Balingen-Weilstetten;Bergischer HC;25:24;2:0
